"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"100288960",8.07634117375132,-0.932346803645692,0.324769429657097,-2.87079607409508,0.00409439566866395,0.787467993926897,"PRSS43P"
"7348",2450.20412190985,1.01521166670399,0.355837185283682,2.85302297986265,0.0043305489866497,0.787467993926897,"UPK1B"
"100505798",18.4651317415348,-0.776318846507202,0.271873908546366,-2.85543710559782,0.00429776342252028,0.787467993926897,NA
"153768",91.5128072107994,-0.465648079152315,0.164832870589807,-2.82497099932876,0.0047284895555456,0.787467993926897,"PRELID2"
"2561",23.37898997268,-1.94765493777296,0.689675880123692,-2.82401486539394,0.00474261851782548,0.787467993926897,"GABRB2"
"401236",16.8054534957592,-0.849092647193255,0.298400937430187,-2.84547580347969,0.00443451284017102,0.787467993926897,"STMND1"
"51473",676.550763708179,-0.544328146012006,0.192685324060552,-2.82495902926654,0.00472866620353248,0.787467993926897,"DCDC2"
"168667",38.4784697190017,0.848767035151979,0.300495730543124,2.82455605481613,0.00473461657869658,0.787467993926897,"BMPER"
"2626",5.25298722232438,-2.4306956702178,0.860071378975596,-2.8261557466462,0.00471103519221446,0.787467993926897,"GATA4"
"3084",72.5468332811079,-1.37805400091015,0.481520147542837,-2.86188232816895,0.00421133230035274,0.787467993926897,"NRG1"
"6422",1420.76926351494,-0.692244321603082,0.241901703692327,-2.86167609006815,0.00421407337450427,0.787467993926897,"SFRP1"
"158131",34.0312554743022,1.08629919625052,0.379401840394226,2.86318905338407,0.00419400240059632,0.787467993926897,"OR1Q1"
"339967",13.0565266622707,-1.44835050717933,0.513614816488477,-2.81991574363357,0.0048036260574916,0.788769322193911,"TMPRSS11A"
"256236",429.615103593411,-0.681703258337528,0.242320866555639,-2.81322557164511,0.00490472314356098,0.793864474522084,"NAPSB"
"79616",100.76133833819,-0.435416161066209,0.154722165563363,-2.81418088662865,0.00489017029005929,0.793864474522084,"CCNJL"
"8516",212.920903972485,-1.07580078715721,0.383984450628486,-2.80167799866999,0.00508375874585174,0.799985924868059,"ITGA8"
"643677",15.0752999213992,0.67609257631648,0.241286491433278,2.80203243994468,0.0050781767018172,0.799985924868059,"LRTM3"
"7476",101.71786800104,-0.855727438785229,0.305157480200186,-2.80421583709456,0.00504391271656142,0.799985924868059,"WNT7A"
"139189",2.13761650998517,-2.27108103094327,0.810611334004875,-2.80168921364923,0.00508358203783839,0.799985924868059,"DGKK"
"653075",80.1301748219606,-0.567413057126497,0.20282361276935,-2.79756902748674,0.00514887638752767,0.804645096147428,"GOLGA8T"
"100128905",8.04642641728165,0.999153283107952,0.357688444508705,2.79336192836847,0.00521632922823631,0.809602878848183,"LINC01960"
"57463",59.2447755762676,-0.705263201411094,0.252709983980633,-2.79080070483145,0.00525778353724664,0.810485543904822,"AMIGO1"
"56971",89.5407803556575,-0.58276716895237,0.209195967501585,-2.78574762177456,0.00534044332919622,0.812177488856284,"CEACAM19"
"200879",23.413991331891,-0.964025618902402,0.345941805791073,-2.78666990448854,0.00532526936527961,0.812177488856284,"LIPH"
"56034",458.569789178248,-0.733885599195781,0.263932829458618,-2.78057716692969,0.00542623617719765,0.819723411835324,"PDGFC"
"10561",237.65226502235,-0.852830938055193,0.310059454561185,-2.75054001904948,0.00594971236566258,0.82147193197332,"IFI44"
"9023",7.26005698423357,-1.26554088300582,0.461846258620079,-2.74017783923821,0.00614059484904825,0.82147193197332,"CH25H"
"3437",317.550263898636,-0.609034791688491,0.221129525856265,-2.7541993287878,0.00588359227013771,0.82147193197332,"IFIT3"
"91056",915.849592615077,0.232151580609937,0.0839557951312449,2.76516445645025,0.00568941043396429,0.82147193197332,"AP5B1"
"225",31.6811225894519,-1.11621595649411,0.408042885104916,-2.73553588909438,0.0062278794645495,0.82147193197332,"ABCD2"
"283417",706.808821968638,-0.69931724756277,0.255399058061663,-2.73813557837762,0.00617885973952132,0.82147193197332,"DPY19L2"
"8814",378.752292957258,-0.307947073624013,0.111306708123208,-2.76665332050911,0.00566349465515906,0.82147193197332,"CDKL1"
"283820",1782.15413295557,0.33134595212687,0.121180556964107,2.73431613476585,0.0062509995941899,0.82147193197332,"NOMO2"
"201254",234.966963532899,0.358473815188118,0.130438481913302,2.74822130654958,0.0059919550191147,0.82147193197332,"CENPX"
"644096",191.337374770486,0.262973713754736,0.0947080076147448,2.77667876642982,0.00549174257631322,0.82147193197332,"SDHAF1"
"1123",140.592190704523,-0.549810571737472,0.199371039659835,-2.75772535808387,0.00582050774372249,0.82147193197332,"CHN1"
"81572",279.217335476473,0.248368608177433,0.0906915996239755,2.73860654357423,0.00617001648584064,0.82147193197332,"PDRG1"
