gene	log2FC	p	padj	n
RNF168	-0.607874652923358	4.03000760159339e-07	3.63018007576601e-05	148
EBNA1BP2	-0.638765756713555	4.0914578481254e-07	3.67108061039643e-05	148
NKRF	-0.354506073456193	4.13097645789977e-07	3.68460300817389e-05	148
CCDC9	0.513793954276386	4.15931761511588e-07	3.68460300817389e-05	148
ZXDA	-0.614184415746297	4.1643568250453e-07	3.68460300817389e-05	148
CCDC113	-1.12465652295537	4.1837331277648e-07	3.68460300817389e-05	148
SLC35D2	-0.452385456948235	4.18704887292487e-07	3.68460300817389e-05	148
EIF4ENIF1	-0.328252566581306	4.37700759441192e-07	3.83700895632738e-05	148
ZFP69B	-0.741660798474851	4.44615817972274e-07	3.88275187603269e-05	148
FAM117B	-0.818422511158222	4.52072184492718e-07	3.9328561145222e-05	148
GINM1	-0.735784155777758	4.58386847467598e-07	3.97268601138585e-05	148
TNPO3	-0.577143576941284	4.61437512627075e-07	3.9779473425982e-05	148
KATNA1	-0.895894915306017	4.64157081841427e-07	3.9779473425982e-05	148
C2CD3	-0.516390200688497	4.6420976419306e-07	3.9779473425982e-05	148
C17orf75	-0.860550068013536	4.74450587603116e-07	4.05028862384589e-05	148
CHSY1	-0.744052304297969	4.76192150268594e-07	4.05028862384589e-05	148
C8orf48	-0.768751821023231	4.91565530196961e-07	4.16556271515054e-05	148
USP38	-0.732208434687946	4.98803917604308e-07	4.20257305857722e-05	148
SUGT1	-0.549873228712456	5.00133123802011e-07	4.20257305857722e-05	148
NAA30	-0.748940450093288	5.0144337630751e-07	4.20257305857722e-05	148
GLG1	-0.566405489730383	5.04508811466506e-07	4.21283270304878e-05	148
IBSP	0.475602324756174	5.1274793189246e-07	4.26606279334526e-05	148
ZNF596	-0.817948051716664	5.17738733361154e-07	4.29104483484474e-05	148
SERBP1	-0.52904881902195	5.19501494428318e-07	4.29104483484474e-05	148
FBXL4	-0.9198816587955	5.25637385845951e-07	4.31875844919502e-05	148
ACER3	-0.734195493882387	5.27454695339431e-07	4.31875844919502e-05	148
ARMC5	0.645138903442656	5.29771981653691e-07	4.31875844919502e-05	148
SLC25A13	-0.843677736706237	5.30406959888025e-07	4.31875844919502e-05	148
TMEM117	-1.0702022576563	5.45484073567505e-07	4.42577149050514e-05	148
NEDD1	-0.634547955334371	5.52809978694815e-07	4.46936124117928e-05	148
CD79B	0.789374390532468	5.60105219455833e-07	4.49760019864892e-05	148
EXOC8	-0.756038673618255	5.60234290478559e-07	4.49760019864892e-05	148
NBPF20	-0.844780300464606	5.63146313424979e-07	4.50517050739983e-05	148
APPL1	-0.751764927168099	5.65414840590596e-07	4.50755803230413e-05	148
KDM2B	-0.449630792123652	5.72759586316779e-07	4.53243264314776e-05	148
CEP128	-1.11749957240059	5.74731745607029e-07	4.53243264314776e-05	148
