gene	log2FC	                         p	               padj	        n
DHRS9	0.93852478771054	0.00333566826142539	0.294457052762793	8
LOC648608	0.489958470671814	0.00336978606605061	0.296635565579009	8
QPCT	1.53765472126761	0.00338060073379929	0.296756309107197	8
HIST1H2BC	1.01128332267869	0.00339085587122802	0.296827400025659	8
GRN	0.796724327353019	0.0034078764993916	0.297341703617308	8
SRA1	0.735481028668728	0.00342941566039714	0.297341703617308	8
C20orf43	0.923672918355061	0.00343611919626493	0.297341703617308	8
NCOA1	1.0070791148424	0.00344512507788634	0.297341703617308	8
EMG1	-0.750954333195348	0.00345434197721994	0.297341703617308	8
LOC401720	-0.81275754413474	0.00346197049670935	0.297341703617308	8
FTHL3	0.962577981542079	0.00347921314662341	0.297341703617308	8
CR1	1.82165748369183	0.0034883929289538	0.297341703617308	8
CSF2RB	0.8524951038475	0.00349105225366444	0.297341703617308	8
LOC644934	1.57750077569626	0.00349134756681686	0.297341703617308	8
NFIC	0.730938030583833	0.00351398968276074	0.298461188568754	8
CXCL1	2.13965034190024	0.00355060321049979	0.298590400655301	8
ZMIZ1	0.969958755101327	0.00355550768034608	0.298590400655301	8
ACSL4	1.16730351641099	0.00356697391793321	0.298590400655301	8
PLAU	0.704348338789639	0.00356944991659202	0.298590400655301	8
GADD45A	0.819032834007378	0.00357199231128372	0.298590400655301	8
COTL1	0.743320591093838	0.00357251927214387	0.298590400655301	8
HIST1H2BK	0.686656245195082	0.00359737713981477	0.29987048805257	8
USP10	1.39056244615957	0.0036186695548252	0.300847379444277	8
CXCL16	0.831293495030824	0.0036434837059259	0.302032701582967	8
VNN2	0.910798516394483	0.00365214874949174	0.302032701582967	8
KBTBD11	0.937661096998637	0.00369530123785631	0.30395694440594	8
SOX8	-0.876180498641018	0.00370334072770718	0.30395694440594	8
TOM1	0.927768057341827	0.00370831509787282	0.30395694440594	8
EIF1B	0.666177067984616	0.00371687362478642	0.30395694440594	8
ZFP36L2	0.908532695376992	0.00372983064117907	0.30395694440594	8
RPS26L	1.32485079484424	0.00374298245283328	0.30395694440594	8
NUP214	0.820412808127049	0.00374529635758961	0.30395694440594	8
C9orf167	0.774014606744689	0.00375279368769505	0.30395694440594	8
ELA1	-0.728962741469109	0.00379298256766771	0.306422288358677	8
FFAR2	1.1134890576555	0.00381160128988426	0.307136877271545	8
ALAS1	0.777258080476441	0.00382953511866652	0.307792763783156	8
DNTTIP1	0.873945722588088	0.00384296236334588	0.308084018445173	8
SLC22A15	1.3623392697707	0.00387938891607651	0.309644056022151	8
SGK	1.33000519210386	0.00388212811279602	0.309644056022151	8
LY9	-0.797885944390517	0.00391533652282914	0.311502191307414	8
APOBEC3D	-0.993151711818815	0.00396107620073938	0.313353283577025	8
STX3	1.136103895197	0.00396257144446974	0.313353283577025	8
TNFRSF8	0.672083018476722	0.00396851673339451	0.313353283577025	8
CLEC9A	0.790954086743383	0.00398408649217972	0.31379424086025	8
LOC441377	1.84707406165551	0.00401863837149353	0.313803289148005	8
GPR160	1.0027207579227	0.00402217330897477	0.313803289148005	8
PCTP	1.17452497074461	0.00402692157567419	0.313803289148005	8
ITM2B	0.571467841045112	0.00403457026480876	0.313803289148005	8
LOC728098	0.740167252674949	0.00403506648640463	0.313803289148005	8
RPS26P11	1.53091984837367	0.00405197721080553	0.313803289148005	8
BRD4	0.740837520930516	0.00406624189347169	0.313803289148005	8
PAK1	1.13706870771923	0.00408158378911669	0.313803289148005	8
LOC645558	0.710245773203921	0.00408396390990711	0.313803289148005	8
PPM1D	0.929784241197878	0.00408405604472519	0.313803289148005	8
C19orf12	-0.61316810038584	0.00410194545558455	0.314409116798049	8
FAM159A	-0.807817801052771	0.00414071606379398	0.31626054637266	8
TPST1	1.22877630847132	0.0041462274901526	0.31626054637266	8
LOC647488	0.557812233544958	0.0041621510355488	0.316443502704499	8
IL18R1	1.44054669019045	0.00417730016830992	0.316443502704499	8
PGD	1.0921871979435	0.00418348238776986	0.316443502704499	8
HIST1H2BE	1.06287890541669	0.00418890400067052	0.316443502704499	8
PNPLA1	0.888303030699403	0.00420897641723693	0.316605755390047	8
FBXL2	0.890100902921095	0.00421120109950486	0.316605755390047	8
