"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-151a-3p",1322.5372052507,-0.214695878305352,0.314029157199417,-0.683681350547377,0.494176402372281,0.852275244671035
"hsa-miR-151a-5p",179.894739442586,-0.944878155006428,0.378173167995824,-2.498533039808,0.0124708516875959,0.164892372313768
"hsa-miR-151b",74.7253354830843,-0.763631842560265,0.329128921096693,-2.32016025822271,0.0203322095881847,0.198281960740368
"hsa-miR-152-3p",86.132906785584,-0.31281889794741,0.398131372752869,-0.785717778994485,0.432032845005665,0.82735786484053
"hsa-miR-1537-3p",1.15053327924434,3.62626873165107,2.99409743123632,1.21113918799687,0.22584206454689,NA
"hsa-miR-1538",0.42051727420071,-2.21794007565739,3.02594278456523,-0.732974888676246,0.463573745306082,NA
"hsa-miR-154-5p",0.76711599464126,-2.56190484896427,3.00606678645436,-0.852244820543734,0.39407822487143,NA
"hsa-miR-155-5p",2915.53445062505,0.357786587407093,0.350739443662558,1.02009224759824,0.30768471309765,0.773545370252543
"hsa-miR-15a-3p",0.60137604704009,2.72347017098032,3.01123322209442,0.904436810472637,0.36576382666982,NA
"hsa-miR-15a-5p",580.400152219152,-0.0535626586888762,0.329467764389591,-0.162573290859312,0.870854417987572,0.938846074356208
"hsa-miR-15b-3p",23.298890550739,0.198691974925067,0.884765018826564,0.224570333023095,0.822313546215077,0.929006126578426
"hsa-miR-15b-5p",877.564219662407,0.319466124491403,0.390508033993684,0.818078238299624,0.41331251406749,0.82735786484053
"hsa-miR-16-1-3p",0.860438687118392,1.0562228173761,3.00082209610977,0.351977819260053,0.724854897075636,NA
"hsa-miR-16-2-3p",22.3504160003723,-0.21303074982474,0.655425978683892,-0.325026405350166,0.745161087162842,0.896452514614972
"hsa-miR-16-5p",140190.776852273,-0.141389843936835,0.304141303652235,-0.464882086842452,0.642015899189761,0.883537316520756
"hsa-miR-17-3p",14.7499906973261,0.673857962673246,0.848423672315713,0.794247007316519,0.427051647584399,0.82735786484053
"hsa-miR-17-5p",208.577690797686,-0.257916331269905,0.312867917301304,-0.824361709869797,0.409734064537773,0.82735786484053
"hsa-miR-181a-2-3p",58.570162976252,0.263577188152443,0.443098308643122,0.594850359414781,0.551943501668988,0.876381027235558
"hsa-miR-181a-3p",25.1565718659088,0.71579622088641,0.7592824774421,0.942727169600716,0.345820472485365,0.813771512885725
"hsa-miR-181a-5p",326.150706681842,0.913248314400573,0.298666099398902,3.05775686038216,0.00223000432666797,0.066342628718372
"hsa-miR-181b-5p",63.5398857678422,0.85610139178321,0.3878164827522,2.20749099086185,0.0272797757162546,0.221338180243247
